id,"tanggal (WIB)","waktu (WIB)",lintang,bujur,"tingkat kepercayaan",satelit,"radius kemungkinan",kecamatan,kabupaten,provinsi,tipe
3561502,2021-11-24,12:34:00,-3.877415657043457,122.39996337890625,8,aqua,3000,Bondoala,Konawe,"Sulawesi Tenggara",Cluster
3561501,2021-11-24,12:34:00,-4.287866115570068,119.9607162475586,8,aqua,3000,Ganra,Soppeng,"Sulawesi Selatan",Cluster
3561503,2021-11-24,12:34:00,-2.7878124713897705,120.27635192871094,8,aqua,3000,"Malangke Barat","Luwu Utara","Sulawesi Selatan",Cluster
3561484,2021-11-24,00:18:56,-10.15595913,124.32735443,8,noaa20,1125,"Amanuban Selatan","Timor Tengah Selatan","Nusa Tenggara Timur",Cluster
3561497,2021-11-24,11:17:32,-9.827482700000001,124.7527771,8,noaa20,1280,"Amanatun Selatan","Timor Tengah Selatan","Nusa Tenggara Timur",Cluster
3561526,2021-11-24,12:57:06,-8.27279854,123.51578522,8,noaa20,1125,Ileape,Lembata,"Nusa Tenggara Timur",Cluster
3561496,2021-11-24,11:17:32,-8.058597565,140.268600465,8,noaa20,1280,Kurik,Merauke,Papua,Cluster
3561481,2021-11-24,00:18:56,-1.45643103,127.43813324,8,noaa20,1125,Obi,"Halmahera Selatan","Maluku Utara",Cluster
3561482,2021-11-24,00:18:56,-2.83345592,122.154506685,8,noaa20,1280,Bahodopi,Morowali,"Sulawesi Tengah",Cluster
3561499,2021-11-24,11:17:32,-4.73066974,123.08195496,8,noaa20,1280,Bonegunu,"Buton Utara","Sulawesi Tenggara",Cluster
3561498,2021-11-24,11:17:32,-5.0311567749999995,122.943904875,8,noaa20,1280,Konbowa,"Buton Utara","Sulawesi Tenggara",Cluster
3561483,2021-11-24,00:18:56,-3.9024446624999998,122.41901588500001,8,noaa20,1500,Bondoala,Konawe,"Sulawesi Tenggara",Cluster
3561528,2021-11-24,12:57:06,-2.78865886,120.27426147,8,noaa20,1125,"Malangke Barat","Luwu Utara","Sulawesi Selatan",Cluster
3561527,2021-11-24,12:57:06,-7.49232244,112.6759491,8,noaa20,1125,Tanggulangin,Sidoarjo,"Jawa Timur",Cluster
3561480,2021-11-24,00:18:56,1.16518283,117.67902374,8,noaa20,1125,Kaubun,"Kutai Timur","Kalimantan Timur",Cluster
3561500,2021-11-24,11:17:32,0.53627282,122.43702698,8,noaa20,1125,Dulupi,Boalemo,Gorontalo,Cluster
3561504,2021-11-24,12:08:45,-8.16648865,118.1209259,8,snpp,1125,Tambora,Bima,"Nusa Tenggara Barat",Cluster
3561505,2021-11-24,12:08:45,-8.14128017,118.11257935,8,snpp,1125,Tambora,Bima,"Nusa Tenggara Barat",Cluster
3561525,2021-11-24,12:08:45,-8.78799248,118.91755676,8,snpp,1125,Langgudu,Bima,"Nusa Tenggara Barat",Cluster
3561478,2021-11-23,23:31:58,-10.15360355,124.32630157,8,snpp,1125,"Amanuban Selatan","Timor Tengah Selatan","Nusa Tenggara Timur",Cluster
3561517,2021-11-24,12:08:45,-10.1499033,124.32580566,8,snpp,1125,"Amanuban Selatan","Timor Tengah Selatan","Nusa Tenggara Timur",Cluster
3561518,2021-11-24,12:08:45,-10.13467026,124.13288116,8,snpp,1125,"Amarasi Timur",Kupang,"Nusa Tenggara Timur",Cluster
3561522,2021-11-24,12:08:45,-9.69431877,124.7486496,8,snpp,1125,"Amanatun Utara","Timor Tengah Selatan","Nusa Tenggara Timur",Cluster
3561521,2021-11-24,12:08:45,-9.71721649,124.79542542,8,snpp,1125,"Amanatun Utara","Timor Tengah Selatan","Nusa Tenggara Timur",Cluster
3561519,2021-11-24,12:08:45,-9.76924133,124.78910065,8,snpp,1125,"Amanatun Utara","Timor Tengah Selatan","Nusa Tenggara Timur",Cluster
3561520,2021-11-24,12:08:45,-9.74317265,124.78147888,8,snpp,1125,"Amanatun Utara","Timor Tengah Selatan","Nusa Tenggara Timur",Cluster
3561524,2021-11-24,12:08:45,-9.439041615,125.035930635,8,snpp,1280,"Kobalima Timur",Malaka,"Nusa Tenggara Timur",Cluster
3561523,2021-11-24,12:08:45,-9.59095383,124.77945709,8,snpp,1125,Rinhat,Malaka,"Nusa Tenggara Timur",Cluster
